Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,4.7,R_2512_6332Metric,47.5,-26.18,0.0,top
R2,4.7,R_2512_6332Metric,47.5,-32.07,0.0,top
R3,4.7,R_2512_6332Metric,47.5,-37.96,0.0,top
R4,4.7,R_2512_6332Metric,47.5,-44.1,0.0,top
R5,4.7,R_2512_6332Metric,47.5,-49.99,0.0,top
R6,4.7,R_2512_6332Metric,47.5,-55.88,0.0,top
R7,4.7,R_2512_6332Metric,47.5,-61.77,0.0,top
R8,4.7,R_2512_6332Metric,47.5,-68.16,0.0,top
R9,4.7,R_2512_6332Metric,47.5,-74.3,0.0,top
R10,4.7,R_2512_6332Metric,47.5,-80.44,0.0,top
R11,4.7,R_2512_6332Metric,47.5,-86.33,0.0,top
R12,4.7,R_2512_6332Metric,47.5,-91.95,0.0,top
R13,4.7,R_2512_6332Metric,47.5,-97.67,0.0,top
R14,4.7,R_2512_6332Metric,47.5,-103.29,0.0,top
R15,4.7,R_2512_6332Metric,47.5,-109.04,0.0,top
R16,4.7,R_2512_6332Metric,47.5,-114.79,0.0,top
R17,4.7,R_2512_6332Metric,47.5,-120.76,0.0,top
R18,4.7,R_2512_6332Metric,47.5,-126.54,0.0,top
R19,4.7,R_2512_6332Metric,47.5375,-132.29,0.0,top
R20,4.7,R_2512_6332Metric,59.928571,-26.18,0.0,top
R21,4.7,R_2512_6332Metric,59.928571,-32.07,0.0,top
R22,4.7,R_2512_6332Metric,59.928571,-37.96,0.0,top
R23,4.7,R_2512_6332Metric,59.928571,-44.1,0.0,top
R24,4.7,R_2512_6332Metric,59.928571,-49.99,0.0,top
R25,4.7,R_2512_6332Metric,59.928571,-55.88,0.0,top
R26,4.7,R_2512_6332Metric,59.928571,-61.77,0.0,top
R27,4.7,R_2512_6332Metric,59.928571,-68.16,0.0,top
R28,4.7,R_2512_6332Metric,59.928571,-74.3,0.0,top
R29,4.7,R_2512_6332Metric,59.928571,-80.44,0.0,top
R30,4.7,R_2512_6332Metric,59.928571,-86.33,0.0,top
R31,4.7,R_2512_6332Metric,59.969642,-91.95,0.0,top
R32,4.7,R_2512_6332Metric,59.969642,-97.67,0.0,top
R33,4.7,R_2512_6332Metric,59.969642,-103.29,0.0,top
R34,4.7,R_2512_6332Metric,59.969642,-109.04,0.0,top
R35,4.7,R_2512_6332Metric,59.969642,-114.79,0.0,top
R36,4.7,R_2512_6332Metric,59.969642,-120.76,0.0,top
R37,4.7,R_2512_6332Metric,59.969642,-126.54,0.0,top
R38,4.7,R_2512_6332Metric,60.001785,-132.29,0.0,top
R39,4.7,R_2512_6332Metric,72.357142,-26.18,0.0,top
R40,4.7,R_2512_6332Metric,72.357142,-32.07,0.0,top
R41,4.7,R_2512_6332Metric,72.357142,-37.96,0.0,top
R42,4.7,R_2512_6332Metric,72.357142,-44.1,0.0,top
R43,4.7,R_2512_6332Metric,72.357142,-49.99,0.0,top
R44,4.7,R_2512_6332Metric,72.357142,-55.88,0.0,top
R45,4.7,R_2512_6332Metric,72.357142,-61.77,0.0,top
R46,4.7,R_2512_6332Metric,72.357142,-68.16,0.0,top
R47,4.7,R_2512_6332Metric,72.357142,-74.3,0.0,top
R48,4.7,R_2512_6332Metric,72.357142,-80.44,0.0,top
R49,4.7,R_2512_6332Metric,72.357142,-86.33,0.0,top
R50,4.7,R_2512_6332Metric,72.439284,-91.95,0.0,top
R51,4.7,R_2512_6332Metric,72.439284,-97.67,0.0,top
R52,4.7,R_2512_6332Metric,72.439284,-103.29,0.0,top
R53,4.7,R_2512_6332Metric,72.439284,-109.04,0.0,top
R54,4.7,R_2512_6332Metric,72.439284,-114.79,0.0,top
R55,4.7,R_2512_6332Metric,72.439284,-120.76,0.0,top
R56,4.7,R_2512_6332Metric,72.439284,-126.54,0.0,top
R57,4.7,R_2512_6332Metric,72.46607,-132.29,0.0,top
R58,4.7,R_2512_6332Metric,84.785713,-26.18,0.0,top
R59,4.7,R_2512_6332Metric,84.785713,-32.07,0.0,top
R60,4.7,R_2512_6332Metric,84.785713,-37.96,0.0,top
R61,4.7,R_2512_6332Metric,84.785713,-44.1,0.0,top
R62,4.7,R_2512_6332Metric,84.785713,-49.99,0.0,top
R63,4.7,R_2512_6332Metric,84.785713,-55.88,0.0,top
R64,4.7,R_2512_6332Metric,84.785713,-61.77,0.0,top
R65,4.7,R_2512_6332Metric,84.785713,-68.16,0.0,top
R66,4.7,R_2512_6332Metric,84.785713,-74.3,0.0,top
R67,4.7,R_2512_6332Metric,84.785713,-80.44,0.0,top
R68,4.7,R_2512_6332Metric,84.785713,-86.33,0.0,top
R69,4.7,R_2512_6332Metric,84.908926,-91.95,0.0,top
R70,4.7,R_2512_6332Metric,84.908926,-97.67,0.0,top
R71,4.7,R_2512_6332Metric,84.908926,-103.29,0.0,top
R72,4.7,R_2512_6332Metric,84.908926,-109.04,0.0,top
R73,4.7,R_2512_6332Metric,84.908926,-114.79,0.0,top
R74,4.7,R_2512_6332Metric,84.908926,-120.76,0.0,top
R75,4.7,R_2512_6332Metric,84.908926,-126.54,0.0,top
R76,4.7,R_2512_6332Metric,84.930355,-132.29,0.0,top
R77,4.7,R_2512_6332Metric,97.214284,-26.18,0.0,top
R78,4.7,R_2512_6332Metric,97.214284,-32.07,0.0,top
R79,4.7,R_2512_6332Metric,97.214284,-37.96,0.0,top
R80,4.7,R_2512_6332Metric,97.214284,-44.1,0.0,top
R81,4.7,R_2512_6332Metric,97.214284,-49.99,0.0,top
R82,4.7,R_2512_6332Metric,97.214284,-55.88,0.0,top
R83,4.7,R_2512_6332Metric,97.214284,-61.77,0.0,top
R84,4.7,R_2512_6332Metric,97.214284,-68.16,0.0,top
R85,4.7,R_2512_6332Metric,97.214284,-74.3,0.0,top
R86,4.7,R_2512_6332Metric,97.214284,-80.44,0.0,top
R87,4.7,R_2512_6332Metric,97.214284,-86.33,0.0,top
R88,4.7,R_2512_6332Metric,97.378568,-91.95,0.0,top
R89,4.7,R_2512_6332Metric,97.378568,-97.67,0.0,top
R90,4.7,R_2512_6332Metric,97.378568,-103.29,0.0,top
R91,4.7,R_2512_6332Metric,97.378568,-109.04,0.0,top
R92,4.7,R_2512_6332Metric,97.378568,-114.79,0.0,top
R93,4.7,R_2512_6332Metric,97.378568,-120.76,0.0,top
R94,4.7,R_2512_6332Metric,97.378568,-126.54,0.0,top
R95,4.7,R_2512_6332Metric,97.39464,-132.29,0.0,top
R96,4.7,R_2512_6332Metric,109.642855,-26.18,0.0,top
R97,4.7,R_2512_6332Metric,109.642855,-32.07,0.0,top
R98,4.7,R_2512_6332Metric,109.642855,-37.96,0.0,top
R99,4.7,R_2512_6332Metric,109.642855,-44.1,0.0,top
R100,4.7,R_2512_6332Metric,109.642855,-49.99,0.0,top
R101,4.7,R_2512_6332Metric,109.642855,-55.88,0.0,top
R102,4.7,R_2512_6332Metric,109.642855,-61.77,0.0,top
R103,4.7,R_2512_6332Metric,109.642855,-68.16,0.0,top
R104,4.7,R_2512_6332Metric,109.642855,-74.3,0.0,top
R105,4.7,R_2512_6332Metric,109.642855,-80.44,0.0,top
R106,4.7,R_2512_6332Metric,109.642855,-86.33,0.0,top
R107,4.7,R_2512_6332Metric,109.84821,-91.95,0.0,top
R108,4.7,R_2512_6332Metric,109.84821,-97.67,0.0,top
R109,4.7,R_2512_6332Metric,109.84821,-103.29,0.0,top
R110,4.7,R_2512_6332Metric,109.84821,-109.04,0.0,top
R111,4.7,R_2512_6332Metric,109.84821,-114.79,0.0,top
R112,4.7,R_2512_6332Metric,109.84821,-120.76,0.0,top
R113,4.7,R_2512_6332Metric,109.84821,-126.54,0.0,top
R114,4.7,R_2512_6332Metric,109.858925,-132.29,0.0,top
R115,4.7,R_2512_6332Metric,122.071426,-26.18,0.0,top
R116,4.7,R_2512_6332Metric,122.071426,-32.07,0.0,top
R117,4.7,R_2512_6332Metric,122.071426,-37.96,0.0,top
R118,4.7,R_2512_6332Metric,122.071426,-44.1,0.0,top
R119,4.7,R_2512_6332Metric,122.071426,-49.99,0.0,top
R120,4.7,R_2512_6332Metric,122.071426,-55.88,0.0,top
R121,4.7,R_2512_6332Metric,122.071426,-61.77,0.0,top
R122,4.7,R_2512_6332Metric,122.071426,-68.16,0.0,top
R123,4.7,R_2512_6332Metric,122.071426,-74.3,0.0,top
R124,4.7,R_2512_6332Metric,122.071426,-80.44,0.0,top
R125,4.7,R_2512_6332Metric,122.071426,-86.33,0.0,top
R126,4.7,R_2512_6332Metric,122.317852,-91.95,0.0,top
R127,4.7,R_2512_6332Metric,122.317852,-97.67,0.0,top
R128,4.7,R_2512_6332Metric,122.317852,-103.29,0.0,top
R129,4.7,R_2512_6332Metric,122.317852,-109.04,0.0,top
R130,4.7,R_2512_6332Metric,122.317852,-114.79,0.0,top
R131,4.7,R_2512_6332Metric,122.317852,-120.76,0.0,top
R132,4.7,R_2512_6332Metric,122.317852,-126.54,0.0,top
R133,4.7,R_2512_6332Metric,122.32321,-132.29,0.0,top
R134,4.7,R_2512_6332Metric,134.5,-26.18,0.0,top
R135,4.7,R_2512_6332Metric,134.5,-32.07,0.0,top
R136,4.7,R_2512_6332Metric,134.5,-37.96,0.0,top
R137,4.7,R_2512_6332Metric,134.5,-44.1,0.0,top
R138,4.7,R_2512_6332Metric,134.5,-49.99,0.0,top
R139,4.7,R_2512_6332Metric,134.5,-55.88,0.0,top
R140,4.7,R_2512_6332Metric,134.5,-61.77,0.0,top
R141,4.7,R_2512_6332Metric,134.5,-68.16,0.0,top
R142,4.7,R_2512_6332Metric,134.5,-74.3,0.0,top
R143,4.7,R_2512_6332Metric,134.5,-80.44,0.0,top
R144,4.7,R_2512_6332Metric,134.5,-86.33,0.0,top
R145,4.7,R_2512_6332Metric,134.7875,-91.95,0.0,top
R146,4.7,R_2512_6332Metric,134.7875,-97.67,0.0,top
R147,4.7,R_2512_6332Metric,134.7875,-103.29,0.0,top
R148,4.7,R_2512_6332Metric,134.7875,-109.04,0.0,top
R149,4.7,R_2512_6332Metric,134.7875,-114.79,0.0,top
R150,4.7,R_2512_6332Metric,134.7875,-120.76,0.0,top
R151,4.7,R_2512_6332Metric,134.7875,-126.54,0.0,top
R152,4.7,R_2512_6332Metric,134.7875,-132.29,0.0,top
